TeamName,CompName,Season,xG,xA,Position,Best_Teams
1. FC Köln,Fußball-Bundesliga,2017-2018,42.6,28.7,18°,0
1. FSV Mainz 05,Fußball-Bundesliga,2017-2018,35.2,24.3,14°,0
AC ChievoVerona,Serie A,2017-2018,32.4,22.1,13°,0
AC Milan,Serie A,2017-2018,55.9,36.3,6°,1
ACF Fiorentina,Serie A,2017-2018,58.3,37.1,8°,1
AFC Bournemouth,Premier League,2017-2018,43.3,30,12°,0
Amiens SC,Ligue 1,2017-2018,35.3,23.3,13°,0
Angers SCO,Ligue 1,2017-2018,46.1,30.8,14°,0
Arsenal FC,Premier League,2017-2018,64.3,45.8,6°,1
AS Monaco FC,Ligue 1,2017-2018,63.1,40.3,2°,1
AS Roma,Serie A,2017-2018,70.5,49,3°,1
AS Saint-Étienne,Ligue 1,2017-2018,53.8,33,7°,1
Atalanta BC,Serie A,2017-2018,69.1,43.4,7°,1
Athletic Club,La Liga,2017-2018,46.1,29.9,16°,0
Atlético Madrid,La Liga,2017-2018,48.5,32.5,2°,1
Bayer 04 Leverkusen,Fußball-Bundesliga,2017-2018,59.7,43.8,5°,1
Benevento Calcio,Serie A,2017-2018,39.6,27.8,20°,0
Bologna FC 1909,Serie A,2017-2018,37.6,23.1,15°,0
Borussia Dortmund,Fußball-Bundesliga,2017-2018,65.7,43.3,4°,1
Borussia Mönchengladbach,Fußball-Bundesliga,2017-2018,52.6,35.8,9°,1
Brighton & Hove Albion FC,Premier League,2017-2018,36.5,22.9,15°,0
Burnley FC,Premier League,2017-2018,35.8,23.3,7°,1
Cagliari Calcio,Serie A,2017-2018,40.8,25.4,16°,0
CD Leganés,La Liga,2017-2018,40.7,28.4,17°,0
Celta de Vigo,La Liga,2017-2018,53.4,35.9,13°,0
Chelsea FC,Premier League,2017-2018,56.5,39.9,5°,1
Crystal Palace FC,Premier League,2017-2018,53.8,30.4,11°,0
Deportivo Alavés,La Liga,2017-2018,39.6,26.3,14°,0
Deportivo de La Coruña,La Liga,2017-2018,50.2,34.3,18°,0
Dijon FCO,Ligue 1,2017-2018,43.3,25.9,11°,0
Eintracht Frankfurt,Fußball-Bundesliga,2017-2018,44.3,31.8,8°,1
En Avant de Guingamp,Ligue 1,2017-2018,46.7,25.9,12°,0
Everton FC,Premier League,2017-2018,40.3,22.7,8°,1
FC Augsburg,Fußball-Bundesliga,2017-2018,45.4,31.1,12°,0
FC Barcelona,La Liga,2017-2018,80.7,58.8,1°,1
FC Bayern Munich,Fußball-Bundesliga,2017-2018,79.5,56.6,1°,1
FC Crotone,Serie A,2017-2018,37,24.2,18°,0
FC Girondins de Bordeaux,Ligue 1,2017-2018,106.6,74,6°,1
FC Metz,Ligue 1,2017-2018,38,27.3,20°,0
FC Nantes,Ligue 1,2017-2018,44.1,28.8,9°,1
FC Schalke 04,Fußball-Bundesliga,2017-2018,48.2,30.6,2°,1
Genoa CFC,Serie A,2017-2018,44.1,32.2,12°,0
Getafe CF,La Liga,2017-2018,47.1,26.1,8°,1
Girona FC,La Liga,2017-2018,50,31.2,10°,1
Hamburger SV,Fußball-Bundesliga,2017-2018,37.8,25,17°,0
Hannover 96,Fußball-Bundesliga,2017-2018,46.3,32.4,13°,0
Hellas Verona FC,Serie A,2017-2018,35.2,20.5,19°,0
Hertha BSC,Fußball-Bundesliga,2017-2018,40.3,27.3,10°,0
Huddersfield Town AFC,Premier League,2017-2018,33.8,22.9,16°,0
Internazionale,Serie A,2017-2018,61.7,44.5,4°,1
Juventus FC,Serie A,2017-2018,60.5,38.4,1°,1
Leicester City FC,Premier League,2017-2018,46.1,29.7,9°,1
Levante UD,La Liga,2017-2018,42.6,29,15°,0
Lille OSC,Ligue 1,2017-2018,38,30.4,17°,0
Liverpool FC,Premier League,2017-2018,71.7,49.4,4°,1
Málaga CF,La Liga,2017-2018,33,20.7,20°,0
Manchester City FC,Premier League,2017-2018,81.7,56.5,1°,1
Manchester United FC,Premier League,2017-2018,58.1,42.1,2°,1
Montpellier HSC,Ligue 1,2017-2018,43.2,30.9,10°,1
Newcastle United FC,Premier League,2017-2018,42.8,27.6,10°,1
OGC Nice,Ligue 1,2017-2018,104.8,65.6,8°,1
Olympique de Marseille,Ligue 1,2017-2018,73.7,47.5,4°,1
Olympique Lyonnais,Ligue 1,2017-2018,67.7,45.3,3°,1
Paris Saint-Germain FC,Ligue 1,2017-2018,89.7,65.3,1°,1
RB Leipzig,Fußball-Bundesliga,2017-2018,55.1,39.6,6°,1
RC Strasbourg Alsace,Ligue 1,2017-2018,46.1,28.3,15°,0
RCD Espanyol,La Liga,2017-2018,44,29,11°,0
Real Betis,La Liga,2017-2018,41.7,31.4,6°,1
Real Madrid CF,La Liga,2017-2018,84.2,59.6,3°,1
Real Sociedad,La Liga,2017-2018,55.6,38.7,12°,0
SC Freiburg,Fußball-Bundesliga,2017-2018,83.8,48.6,15°,0
SD Eibar,La Liga,2017-2018,40.2,25.5,9°,1
Sevilla FC,La Liga,2017-2018,57.5,40.1,7°,1
Southampton FC,Premier League,2017-2018,40.4,29.3,17°,0
SPAL 2013,Serie A,2017-2018,38.3,19.9,17°,0
SS Lazio,Serie A,2017-2018,63.8,42.4,5°,1
SSC Napoli,Serie A,2017-2018,67.6,48.4,2°,1
Stade Malherbe Caen,Ligue 1,2017-2018,42.7,27.9,16°,0
Stade Rennais FC,Ligue 1,2017-2018,50.1,32.1,5°,1
Stoke City FC,Premier League,2017-2018,37.8,26.4,19°,0
SV Werder Bremen,Fußball-Bundesliga,2017-2018,40.8,30.5,11°,0
Swansea City AFC,Premier League,2017-2018,31.4,18.3,18°,0
Torino FC,Serie A,2017-2018,47.3,34.6,9°,1
Tottenham Hotspur FC,Premier League,2017-2018,67.6,47.8,3°,1
Toulouse FC,Ligue 1,2017-2018,46.8,28.4,18°,0
Troyes AC,Ligue 1,2017-2018,37.6,24.5,19°,0
TSG 1899 Hoffenheim,Fußball-Bundesliga,2017-2018,106.2,77.6,3°,1
UC Sampdoria,Serie A,2017-2018,51.5,32.8,10°,1
UD Las Palmas,La Liga,2017-2018,38.3,23.8,19°,0
Udinese Calcio,Serie A,2017-2018,44,29.9,14°,0
US Sassuolo Calcio,Serie A,2017-2018,50.5,29.4,11°,0
Valencia CF,La Liga,2017-2018,57,38.6,4°,1
VfB Stuttgart,Fußball-Bundesliga,2017-2018,40.5,24.1,7°,1
VfL Wolfsburg,Fußball-Bundesliga,2017-2018,39.5,25.2,16°,0
Villarreal CF,La Liga,2017-2018,52.5,38.6,5°,1
Watford FC,Premier League,2017-2018,45.6,27.6,14°,0
West Bromwich Albion FC,Premier League,2017-2018,35.7,23,20°,0
West Ham United FC,Premier League,2017-2018,38.1,23.9,13°,0
